,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
7644,1968.0,Just renovated,,,160  m² square meters,80  m² square meters,USA hyper equipped,10  m² square meters,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,No,B,Gas,Yes,"€ 645,000  645000 €","Jordaenskaai, 21 2000  - Antwerpen",,Non flood zone,,,,25  m²  square meters,,€ 250  250 €
7645,1960.0,To renovate,4.0,Urban,104  m² square meters,24  m² square meters,,8  m² square meters,5.0,1.0,,1.0,,No,Yes,No,No,No,G,Fuel oil,Yes,"€ 225,000  225000 €",Chaussée de Liège 7 6900  - Marche,1.0,Non flood zone,Zone Nord Province du Luxembourg,4.0,1364  m²  square meters,,,
7646,1997.0,,2.0,,431  m² square meters,58  m² square meters,,21  m² square meters,5.0,3.0,,4.0,Yes,,,,,,C,Gas,Yes,"€ 675,000  675000 €",Vismarkt 10 c 3000  - Leuven,4.0,Non flood zone,,,74  m²  square meters,74  m²  square meters,,
7647,,Just renovated,2.0,,73  m² square meters,25  m² square meters,Installed,14  m² square meters,2.0,1.0,,1.0,Yes,,,,,,B,Gas,Yes,"€ 229,000  229000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,,Non flood zone,,,,6  m²  square meters,,
7648,1910.0,Good,4.0,"Living area (residential, urban or rural)",324  m² square meters,,Installed,,5.0,3.0,,3.0,Yes,,Yes,,,,D,Gas,Yes,"€ 3,500,000  3500000 €",Koningslaan 238 8300  - Knokke,1.0,Non flood zone,,2.0,,,,
7649,1900.0,Good,2.0,,110  m² square meters,21  m² square meters,Installed,14  m² square meters,2.0,,1.0,1.0,,,,,,,E,Fuel oil,Yes,"€ 299,000  299000 €",Venelle de la réserve 2 1300  - Wavre,1.0,,,,,,,
7650,1978.0,As new,4.0,,145  m² square meters,40  m² square meters,Hyper equipped,12  m² square meters,5.0,,2.0,2.0,,,,,,,D,Gas,Yes,"Make an offer starting from  € 500,000  Make an offer starting from  500000 €",Venelle de la réserve 2 1300  - Wavre,1.0,,,2.0,650  m²  square meters,25  m²  square meters,,
7651,2021.0,As new,2.0,,96  m² square meters,31  m² square meters,USA hyper equipped,,2.0,1.0,1.0,1.0,Yes,,,Yes,,,Not specified,Gas,Yes,"€ 399,999  399999 €",Avenue Louise 200 1050  - Bruxelles,1.0,,,,,25  m²  square meters,,€ 182  182 €
7652,1997.0,,2.0,,431  m² square meters,58  m² square meters,,21  m² square meters,5.0,3.0,,4.0,Yes,,,,,,C,Gas,Yes,"€ 675,000  675000 €",Vismarkt 10 c 3000  - Leuven,4.0,Non flood zone,,,74  m²  square meters,74  m²  square meters,,
7653,,Just renovated,,,100  m² square meters,,USA hyper equipped,15  m² square meters,1.0,1.0,,,,No,,,,,C,Gas,Yes,"€ 460,000  460000 €",Rue Abbé Cuypers 3 1040  - Etterbeek,,,,,50  m²  square meters,17  m²  square meters,,€ 45  45 €
7654,,As new,2.0,,165  m² square meters,,,,2.0,2.0,,,,,,,,,D,Gas,Yes,"€ 675,000  675000 €",,,,,,150  m²  square meters,,,
7655,1919.0,Good,2.0,"Living area (residential, urban or rural)",186  m² square meters,30  m² square meters,Installed,11  m² square meters,2.0,1.0,,1.0,,,,No,No,No,E,Pellet,Yes,"€ 229,000  229000 €",,,Non flood zone,,,17  m²  square meters,,,
7656,2009.0,As new,4.0,"Living area (residential, urban or rural)",173  m² square meters,42  m² square meters,Hyper equipped,18  m² square meters,3.0,1.0,,2.0,,No,,No,No,No,Not specified,Gas,Yes,"€ 610,000  610000 €",,,,,,500  m²  square meters,100  m²  square meters,,
7657,,Good,,,35  m² square meters,,Installed,,1.0,,,1.0,,No,Yes,Yes,,No,B,Gas,Yes,"€ 100,000  100000 €",Kortrijkstraat 14 8560  - Wevelgem,,Non flood zone,,,,,,
