,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
12816,Good,3.0,Isolated,275  m² square meters,70  m² square meters,Semi equipped,4.0,1.0,1.0,2.0,,No,,No,No,E,Gas,"€ 309,000  309000 €",Avenue Louise 523 1050  - Ixelles,,153  m²  square meters,10  m²  square meters,
12817,As new,4.0,,156  m² square meters,,Installed,3.0,1.0,,2.0,Yes,,Yes,No,No,D,Fuel oil,"Make an offer starting from  € 310,000  Make an offer starting from  310000 €",Chaussée Paul Houtart 232 7110  - Houdeng-Goegnies,,,,
12818,,3.0,,135  m² square meters,55  m² square meters,Not installed,3.0,1.0,,2.0,,,Yes,,,A,Gas,"€ 325,000  325000 €",Verbindingsweg 41 1880  - Kapelle-op-den-Bos,Non flood zone,,,Yes
12819,To be done up,3.0,,203  m² square meters,,Semi equipped,3.0,,,3.0,Yes,No,Yes,,,E,Gas,"€ 315,000  315000 €",Hulstedorp 18 8531  - Hulste,Non flood zone,,,
12820,Good,3.0,,195  m² square meters,38  m² square meters,Installed,4.0,1.0,,2.0,Yes,No,Yes,,,F,Fuel oil,"€ 318,000  318000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,,Yes
12821,To renovate,4.0,,150  m² square meters,35  m² square meters,Semi equipped,3.0,1.0,,1.0,,No,Yes,,,F,Fuel oil,"€ 310,000  310000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,,Yes
12822,Good,3.0,,157  m² square meters,35  m² square meters,Installed,3.0,1.0,,2.0,Yes,,Yes,,,E,Fuel oil,"€ 325,000  325000 €",Avenue Zénobe Gramme 30 1er étage 1301  - Wavre,,,,Yes
12823,To renovate,3.0,,157  m² square meters,35  m² square meters,Installed,3.0,1.0,,2.0,Yes,,Yes,,,E,Fuel oil,"€ 325,000  325000 €",Avenue Zénobe Gramme 30 1er étage 1301  - Wavre,,,,Yes
12824,To be done up,2.0,,198  m² square meters,51  m² square meters,Installed,3.0,,,1.0,,No,Yes,,,E,Fuel oil,"€ 325,000  325000 €",Doorniksewijk 41 8500  - Kortrijk,Non flood zone,,,
12825,Good,2.0,,264  m² square meters,,Installed,5.0,2.0,1.0,4.0,,No,,No,No,D,Gas,"€ 329,000  329000 €",Stationstraat 30 9600  - Ronse,Possible flood zone,151  m²  square meters,,
12826,Just renovated,2.0,Urban,181  m² square meters,,Hyper equipped,4.0,1.0,1.0,2.0,,No,,No,No,B,Gas,"€ 330,000  330000 €",Koning Albertstraat 28 9900  - Eeklo,Non flood zone,,,Yes
12827,As new,3.0,,101  m² square meters,25  m² square meters,,3.0,1.0,,2.0,Yes,No,Yes,No,No,E,Gas,"€ 329,000  329000 €",Dokter Honore Dewolfstraat 23 9700  - Oudenaarde,,,,Yes
12828,Good,3.0,Isolated,126  m² square meters,28  m² square meters,Installed,3.0,1.0,,1.0,,,Yes,No,No,F,Fuel oil,"€ 335,000  335000 €",Keerbergsesteenweg 33 3150  - Haacht,Non flood zone,,,
12829,As new,2.0,Urban,218  m² square meters,6  m² square meters,Hyper equipped,3.0,1.0,1.0,3.0,,,,No,No,C,Fuel oil,"€ 335,000  335000 €",,Non flood zone,,5  m²  square meters,
12830,,4.0,,215  m² square meters,,Not installed,5.0,2.0,1.0,3.0,Yes,,,,,F,Fuel oil,"€ 335,000  335000 €","Place Saint Arnould, 6 6830  - Bouillon",,,,
12831,Good,4.0,,192  m² square meters,,Semi equipped,3.0,1.0,,2.0,Yes,,Yes,No,No,E,Fuel oil,"Make an offer starting from  € 335,000  Make an offer starting from  335000 €",Chaussée Paul Houtart 232 7110  - Houdeng-Goegnies,,,,
12832,Good,3.0,,120  m² square meters,30  m² square meters,Installed,3.0,1.0,,2.0,,No,,,,F,Gas,"€ 338,000  338000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,27  m²  square meters,Yes
12833,Good,2.0,,180  m² square meters,29  m² square meters,Installed,4.0,,2.0,2.0,Yes,No,Yes,,,C,Gas,"€ 335,000  335000 €",Steenweg op Aalst 96 9620  - Zottegem,Possible flood zone,,,Yes
12834,Good,3.0,,120  m² square meters,30  m² square meters,Installed,3.0,1.0,,2.0,,No,,,,F,Gas,"€ 338,000  338000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,27  m²  square meters,Yes
