,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
8689,Just renovated,3.0,,224  m² square meters,35  m² square meters,Installed,5.0,2.0,,3.0,Yes,No,,No,,D,Gas,"€ 349,000  349000 €",Bouquette 69 4800  - Verviers,,80  m²  square meters,46  m²  square meters,
8690,To be done up,4.0,"Living area (residential, urban or rural)",178  m² square meters,,Installed,3.0,1.0,,2.0,Yes,,Yes,,,E,Fuel oil,"€ 415,000  415000 €",Mechelbaan 509 2580  - Putte,Non flood zone,,,Yes
8691,To be done up,3.0,,198  m² square meters,32  m² square meters,Semi equipped,3.0,1.0,,2.0,Yes,,,,,F,Gas,"€ 375,000  375000 €",Dorp 4A 2820  - Bonheiden,Non flood zone,,,Yes
8692,As new,2.0,Urban,251  m² square meters,,Installed,4.0,2.0,2.0,2.0,,No,,,,D,Gas,"€ 435,000  435000 €",Rue Bonne Fortune 9 4000  - Liège,,,55  m²  square meters,
8693,Good,2.0,,214  m² square meters,44  m² square meters,Installed,3.0,2.0,,3.0,Yes,,,,,B,Gas,"€ 439,000  439000 €",Dorp 4A 2820  - Bonheiden,Non flood zone,,,Yes
8694,To renovate,4.0,,250  m² square meters,50  m² square meters,Hyper equipped,7.0,2.0,,2.0,Yes,No,,No,No,E,Gas,"€ 750,000  750000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,Non flood zone,400  m²  square meters,15  m²  square meters,
8695,To renovate,4.0,,330  m² square meters,52  m² square meters,Installed,5.0,3.0,1.0,3.0,Yes,,Yes,No,No,D,Fuel oil,"€ 995,000  995000 €",Avenue Reine Astrid 215 1410  - Waterloo,Non flood zone,4600  m²  square meters,,
8696,As new,4.0,,345  m² square meters,60  m² square meters,USA hyper equipped,4.0,4.0,3.0,5.0,Yes,No,,No,No,A,Gas,"€ 1,890,000  1890000 €",Avenue Orban 240 1150  - Woluwe-St-Pierre,Non flood zone,2000  m²  square meters,50  m²  square meters,
8697,Good,3.0,,270  m² square meters,52  m² square meters,Hyper equipped,4.0,2.0,1.0,3.0,Yes,No,,No,No,E,Fuel oil,"€ 1,290,000  1290000 €",Chaussée de Waterloo 1382 1180  - Uccle,,190  m²  square meters,30  m²  square meters,
8698,As new,,,85  m² square meters,,Hyper equipped,2.0,,,1.0,,No,Yes,,,D,Gas,"€ 219,000  219000 €",Stationstraat 16 8420  - De Haan,,,,Yes
8699,As new,,,74  m² square meters,,Installed,1.0,,,1.0,Yes,No,,Yes,No,B,Gas,"€ 255,000  255000 €",Grote Markt 1 8370  - Blankenberge,Non flood zone,,,Yes
8700,Good,,,115  m² square meters,27  m² square meters,Hyper equipped,2.0,,,1.0,,Yes,,,,C,Gas,"€ 269,000  269000 €",Parklaan 187 9300  - Aalst,Non flood zone,70  m²  square meters,20  m²  square meters,
8701,Good,3.0,Urban,92  m² square meters,27  m² square meters,Hyper equipped,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,D,,"€ 350,000  350000 €",Rue Basse 21-23 Bte15 b1 1180  - Uccle,Non flood zone,,24  m²  square meters,
8702,As new,2.0,"Living area (residential, urban or rural)",140  m² square meters,38  m² square meters,Hyper equipped,3.0,1.0,,2.0,,,,No,No,Not specified,Gas,"€ 415,000  415000 €",,,100  m²  square meters,12  m²  square meters,
8703,Just renovated,3.0,,150  m² square meters,41  m² square meters,Semi equipped,2.0,1.0,,1.0,Yes,,,,,G,Fuel oil,"€ 269,000  269000 €",Place Wiertz 2 5000  - Namur,,617  m²  square meters,,
8704,,2.0,Isolated,133  m² square meters,41  m² square meters,Hyper equipped,3.0,1.0,,1.0,,No,,Yes,No,Not specified,Gas,"€ 419,000  419000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,13  m²  square meters,
8705,Good,3.0,,175  m² square meters,,,4.0,1.0,,,Yes,,,,,E,Fuel oil,"€ 260,000  260000 €",Porte d'Ogy 78 7860  - Lessines,Non flood zone,,,
8706,Good,3.0,,154  m² square meters,,Installed,2.0,2.0,1.0,2.0,Yes,,,,,D,,"€ 439,000  439000 €",Bredabaan 260 2930  - Brasschaat,Non flood zone,,,Yes
8707,As new,2.0,"Living area (residential, urban or rural)",230  m² square meters,44  m² square meters,USA hyper equipped,4.0,3.0,3.0,3.0,,,,No,No,B,,"€ 1,145,000  1145000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,28  m²  square meters,
8708,Good,2.0,Urban,80  m² square meters,16  m² square meters,Semi equipped,2.0,1.0,1.0,1.0,,,,No,No,D,Gas,"€ 175,000  175000 €","Thier D'oupeye,26 4680  - Oupeye",,,20  m²  square meters,
8709,Good,4.0,,231  m² square meters,53  m² square meters,Installed,5.0,1.0,,,Yes,,,,,C,Fuel oil,"€ 522,000  522000 €",rue du Moulin n° 21 7800  - Ath,,,,
8710,Just renovated,2.0,"Living area (residential, urban or rural)",230  m² square meters,50  m² square meters,Installed,3.0,1.0,,2.0,Yes,,,,,E,Gas,"€ 525,000  525000 €","Place Jamblinne de Meux, 17 1030  - Schaerbeek",,60  m²  square meters,4  m²  square meters,
8711,,2.0,,300  m² square meters,,Semi equipped,5.0,3.0,,3.0,,,Yes,,,Not specified,Electric,"€ 545,000  545000 €","Roterijstraat, 202 8793  - Waregem",,,,
8712,,2.0,,300  m² square meters,,Semi equipped,5.0,3.0,,3.0,,,Yes,,,Not specified,Electric,"€ 545,000  545000 €","Roterijstraat, 202 8793  - Waregem",,,,
8713,As new,4.0,,180  m² square meters,20  m² square meters,USA hyper equipped,3.0,1.0,1.0,2.0,,No,,No,Yes,D,Fuel oil,"Make an offer starting from  € 695,000  Make an offer starting from  695000 €",Chaussée de Waterloo 1382 1180  - Uccle,,,80  m²  square meters,
8714,As new,4.0,,150  m² square meters,53  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,B,Gas,"€ 699,000  699000 €",Place Brugmann 10B 1050  - Ixelles,Non flood zone,,31  m²  square meters,
8715,Good,4.0,,410  m² square meters,,,5.0,2.0,,2.0,Yes,No,Yes,No,No,D,Fuel oil,"€ 1,950,000  1950000 €","Drève Richelle, 118 1410  - Waterloo",,,,
8716,To restore,4.0,,62  m² square meters,23  m² square meters,Not installed,1.0,,,,Yes,,,,,Not specified,,"€ 55,000  55000 €",Chaussée de Charleroi 226 6220  - Fleurus,,,,
8717,To be done up,3.0,Urban,45  m² square meters,18  m² square meters,Not installed,1.0,1.0,1.0,1.0,,No,,No,No,G,,"Make an offer starting from  € 59,000  Make an offer starting from  59000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
8718,As new,3.0,Urban,194  m² square meters,80  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,Not specified,,"€ 874,350  874350 €","Wezembeeklaan, 120 1950  - Kraainem",Non flood zone,,41  m²  square meters,
8719,As new,,,60  m² square meters,21  m² square meters,,1.0,,1.0,1.0,Yes,,,,,F,Gas,"€ 215,000  215000 €","Place Communale , 10A 1630  - Linkebeek",,,,
8720,As new,2.0,"Living area (residential, urban or rural)",225  m² square meters,,,3.0,3.0,3.0,3.0,,No,,No,No,B,,"€ 825,000  825000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,17  m²  square meters,18  m²  square meters,
8721,As new,4.0,,203  m² square meters,90  m² square meters,USA hyper equipped,3.0,2.0,,3.0,Yes,No,,Yes,No,B,Gas,"€ 1,190,000  1190000 €",Place Brugmann 10B 1050  - Ixelles,Non flood zone,,59  m²  square meters,
8722,As new,3.0,,143  m² square meters,55  m² square meters,USA hyper equipped,2.0,,,,Yes,No,,Yes,,B,Gas,"€ 1,450,000  1450000 €",Avenue Louise 251 1050  - Bruxelles,Non flood zone,,127  m²  square meters,
8723,As new,2.0,,174  m² square meters,55  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,B,Gas,"€ 1,495,000  1495000 €",Avenue Louise 251 1050  - Bruxelles,Non flood zone,,45  m²  square meters,
8724,To renovate,,,170  m² square meters,28  m² square meters,Not installed,4.0,1.0,,1.0,Yes,,,,,E,Gas,"€ 110,000  110000 €",Avenuedes Ardennes 7d 4500  - Huy,,,10  m²  square meters,
8725,As new,4.0,Countryside,98  m² square meters,,USA hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,Not specified,,"€ 319,000  319000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,94  m²  square meters,16  m²  square meters,
8726,To renovate,,,143  m² square meters,,Not installed,3.0,2.0,,1.0,Yes,,,,,C,Gas,"€ 180,000  180000 €",Rue de l'Yser 30 4430  - Ans,,160  m²  square meters,9  m²  square meters,
8727,Good,2.0,,290  m² square meters,19  m² square meters,,4.0,3.0,,,Yes,No,Yes,No,No,G,Gas,"€ 830,000  830000 €",Rue Archimède 17 1000  - Bruxelles ville,Non flood zone,40  m²  square meters,,
8728,To renovate,4.0,,250  m² square meters,,Not installed,3.0,1.0,,2.0,,,,,,Not specified,Electric,"€ 231,000  231000 €",Mariakerksesteenweg 80 9031  - Drongen,Non flood zone,,,Yes
8729,Just renovated,,,81  m² square meters,,,2.0,2.0,2.0,2.0,,No,Yes,Yes,No,B,Gas,"€ 1,995,000  1995000 €",Zeedijk Zoute 792 8300  - Knokke-Heist,Non flood zone,,,
8730,,,,105  m² square meters,34  m² square meters,,2.0,1.0,,1.0,,,,Yes,No,Not specified,,"€ 365,000  365000 €",Brusselsesteenweg 690 9050  - Gentbrugge,Non flood zone,,16  m²  square meters,Yes
8731,To renovate,2.0,"Living area (residential, urban or rural)",123  m² square meters,31  m² square meters,,4.0,1.0,1.0,,,No,,,,G,,"€ 240,000  240000 €",Rue de la Concorde 16 1050  - Brussel,,268  m²  square meters,,
8732,,,,104  m² square meters,,Installed,2.0,1.0,,1.0,,,,Yes,,Not specified,Gas,"€ 395,000  395000 €",Gentiel Antheunisplein 6 9700  - Oudenaarde,,,,
8733,To renovate,2.0,,113  m² square meters,28  m² square meters,Semi equipped,3.0,1.0,,1.0,Yes,,,,Yes,F,Gas,"€ 279,000  279000 €",Bergstraat 184 2220  - Heist op den Berg,Non flood zone,,,Yes
8734,Good,3.0,Isolated,139  m² square meters,,Installed,3.0,1.0,,2.0,,No,,No,No,B,Fuel oil,"€ 315,000  315000 €","Thier D'oupeye,26 4680  - Oupeye",,177  m²  square meters,24  m²  square meters,
8735,As new,4.0,,1107  m² square meters,75  m² square meters,,4.0,3.0,,3.0,Yes,No,,No,Yes,A,,"€ 1,695,000  1695000 €",Kortrijksesteenweg 128 9830  - Sint Martens Latem,Non flood zone,3273  m²  square meters,,
8736,As new,4.0,,454  m² square meters,75  m² square meters,USA hyper equipped,5.0,5.0,5.0,5.0,Yes,No,,No,Yes,B,Gas,"€ 1,800,000  1800000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,1000  m²  square meters,24  m²  square meters,
8737,Good,4.0,,340  m² square meters,50  m² square meters,Hyper equipped,4.0,3.0,1.0,4.0,Yes,No,,No,Yes,D,Gas,"€ 1,750,000  1750000 €",Chaussée de Waterloo 1382 1180  - Uccle,Non flood zone,1200  m²  square meters,100  m²  square meters,
8738,As new,2.0,,706  m² square meters,,Hyper equipped,5.0,1.0,1.0,4.0,Yes,No,,Yes,No,D,Fuel oil,"€ 1,850,000  1850000 €",Chaussée de Waterloo 1382 1180  - Uccle,,70  m²  square meters,40  m²  square meters,
8739,As new,4.0,,1165  m² square meters,47  m² square meters,Hyper equipped,6.0,3.0,1.0,7.0,Yes,No,,No,No,G,Gas,"€ 1,950,000  1950000 €",Clos des Chêneaux 18A 1390  - Grez-Doiceau,Non flood zone,3788  m²  square meters,200  m²  square meters,
8740,As new,4.0,,1165  m² square meters,47  m² square meters,Hyper equipped,6.0,3.0,1.0,7.0,Yes,No,,No,No,G,Gas,"€ 1,950,000  1950000 €",Clos des Chêneaux 18A 1390  - Grez-Doiceau,Non flood zone,3788  m²  square meters,200  m²  square meters,
8741,Good,4.0,,1190  m² square meters,108  m² square meters,USA hyper equipped,6.0,5.0,,8.0,Yes,,,Yes,,C,Gas,"€ 1,950,000  1950000 €",James Ensorlaan 39 1800  - Vilvoorde,Non flood zone,1000  m²  square meters,28  m²  square meters,
8742,To renovate,4.0,,824  m² square meters,,Installed,6.0,5.0,,4.0,Yes,No,,No,No,E,Gas,"€ 1,975,000  1975000 €","Drève Richelle, 118 1410  - Waterloo",,,,
8743,Good,4.0,,263  m² square meters,,Installed,5.0,4.0,,4.0,,,Yes,No,No,C,Gas,"€ 1,975,000  1975000 €",Zeedijk Zoute 792 8300  - Knokke-Heist,Non flood zone,,,
8744,To be done up,2.0,,378  m² square meters,,USA hyper equipped,4.0,4.0,4.0,5.0,Yes,,,No,No,B,Gas,"€ 2,350,000  2350000 €","Jordaenskaai, 21 2000  - Antwerpen",Non flood zone,,40  m²  square meters,
8745,To renovate,2.0,,780  m² square meters,37  m² square meters,Semi equipped,17.0,8.0,8.0,10.0,Yes,No,,,,G,Fuel oil,"€ 1,990,000  1990000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Possible flood zone,90  m²  square meters,,
8746,To be done up,4.0,,693  m² square meters,81  m² square meters,Hyper equipped,6.0,6.0,6.0,9.0,Yes,No,Yes,,,G,Fuel oil,"€ 2,500,000  2500000 €",Avenue Louise 589 1050  - Ixelles,,1120  m²  square meters,,
8747,As new,2.0,,495  m² square meters,44  m² square meters,USA hyper equipped,5.0,2.0,1.0,5.0,Yes,No,,No,No,D,Gas,"€ 2,975,000  2975000 €",Place Brugmann 10B 1050  - Ixelles,,250  m²  square meters,64  m²  square meters,
8748,Good,2.0,,758  m² square meters,80  m² square meters,Not installed,5.0,3.0,,6.0,Yes,No,,No,No,F,Gas,"€ 2,950,000  2950000 €",Avenue Louise 404a 1050  - Ixelles,,,72  m²  square meters,
8749,Good,2.0,,1038  m² square meters,,Installed,,,,8.0,,No,Yes,No,No,G,Fuel oil,"€ 3,200,000  3200000 €",Avenue Louise 251 1050  - Bruxelles,,12  m²  square meters,,
8750,As new,4.0,,1100  m² square meters,63  m² square meters,Hyper equipped,7.0,7.0,1.0,10.0,Yes,No,Yes,Yes,Yes,E,Fuel oil,"€ 4,950,000  4950000 €",Avenue Louise 251 1050  - Bruxelles,,19  m²  square meters,,
8751,As new,2.0,,495  m² square meters,44  m² square meters,USA hyper equipped,5.0,2.0,1.0,5.0,Yes,No,,No,No,D,Gas,"€ 2,975,000  2975000 €",Place Brugmann 10B 1050  - Ixelles,,250  m²  square meters,64  m²  square meters,
8752,,3.0,Urban,135  m² square meters,33  m² square meters,Installed,3.0,1.0,,2.0,,No,Yes,No,No,Not specified,,"€ 535,000  535000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,177  m²  square meters,,
8753,,3.0,Urban,136  m² square meters,33  m² square meters,Installed,3.0,1.0,,2.0,,No,Yes,No,No,Not specified,,"€ 535,000  535000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,177  m²  square meters,,
8754,As new,3.0,"Living area (residential, urban or rural)",395  m² square meters,61  m² square meters,Hyper equipped,4.0,2.0,,3.0,,,,No,Yes,B,Gas,"€ 799,000  799000 €",,Non flood zone,1500  m²  square meters,74  m²  square meters,
8755,,3.0,Urban,136  m² square meters,33  m² square meters,Installed,3.0,1.0,,2.0,,No,Yes,No,No,Not specified,,"€ 535,000  535000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,177  m²  square meters,,
8756,,,Isolated,67  m² square meters,,Installed,1.0,1.0,,1.0,,,,Yes,No,B,Gas,"€ 204,000  204000 €",Route du Condroz 72 4100  - Boncelles,,,14  m²  square meters,
8757,As new,,Isolated,68  m² square meters,32  m² square meters,USA hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,A,Gas,"€ 229,000  229000 €",Rue de Rixensart 77 1332  - Genval,Non flood zone,,6  m²  square meters,
8758,,3.0,Urban,135  m² square meters,33  m² square meters,Installed,3.0,1.0,,2.0,,No,Yes,No,No,Not specified,,"€ 540,000  540000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,230  m²  square meters,,
8759,As new,2.0,"Living area (residential, urban or rural)",48  m² square meters,38  m² square meters,USA hyper equipped,1.0,,1.0,1.0,,No,,Yes,,B,Solar,"€ 239,000  239000 €",Chaussée de la Hulpe 177/16 1170  - Watermael-boitsfort,Non flood zone,27  m²  square meters,8  m²  square meters,
8760,,,Isolated,90  m² square meters,,Installed,2.0,1.0,,1.0,,,,Yes,No,B,Gas,"€ 237,000  237000 €",Route du Condroz 72 4100  - Boncelles,,,10  m²  square meters,
8761,As new,2.0,Urban,85  m² square meters,,Installed,2.0,1.0,,1.0,,No,,Yes,No,Not specified,,"€ 274,500  274500 €",Stationstraat 31 8790  - Waregem,,,8  m²  square meters,
8762,As new,,Isolated,34  m² square meters,23  m² square meters,USA hyper equipped,,1.0,,1.0,Yes,No,,Yes,No,B,,"€ 280,000  280000 €",Place Brugmann 10B 1050  - Ixelles,Non flood zone,,2  m²  square meters,
8763,Good,2.0,,110  m² square meters,32  m² square meters,,3.0,2.0,,2.0,Yes,,,Yes,,C,Gas,"€ 264,000  264000 €",Chaussée de Bruxelles 23 (sur N5) 1470  - Genappe,,,4  m²  square meters,
8764,,,Isolated,108  m² square meters,,Installed,2.0,1.0,,1.0,,,,,,B,Gas,"€ 259,000  259000 €",Route du Condroz 72 4100  - Boncelles,,,6  m²  square meters,
8765,As new,4.0,Countryside,129  m² square meters,,USA hyper equipped,3.0,1.0,,1.0,,No,,Yes,No,Not specified,,"€ 339,000  339000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,63  m²  square meters,19  m²  square meters,
8766,As new,4.0,Urban,101  m² square meters,28  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,Not specified,,"€ 355,000  355000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,13  m²  square meters,
8767,As new,4.0,Urban,101  m² square meters,28  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,Not specified,,"€ 355,000  355000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,13  m²  square meters,
8768,Good,4.0,,45  m² square meters,15  m² square meters,Semi equipped,1.0,1.0,,1.0,,Yes,,,,G,,"Make an offer starting from  € 65,000  Make an offer starting from  65000 €",Joseph Durieux 151 5001  - Belgrade,,235  m²  square meters,12  m²  square meters,
8769,Good,2.0,"Living area (residential, urban or rural)",110  m² square meters,,Hyper equipped,3.0,1.0,,1.0,Yes,,,Yes,No,Not specified,,"€ 360,000  360000 €",,Non flood zone,,12  m²  square meters,
8770,Good,2.0,,,,Installed,3.0,,,2.0,Yes,,,,,C,Gas,"€ 285,000  285000 €","Roterijstraat, 202 8793  - Waregem",,,,
8771,As new,2.0,,103  m² square meters,25  m² square meters,Hyper equipped,3.0,,,1.0,,No,,,,F,Gas,"€ 169,000  169000 €",Leopoldlaan 85 8430  - Middelkerke,Non flood zone,,,Yes
8772,Good,3.0,Isolated,193  m² square meters,32  m² square meters,Semi equipped,4.0,1.0,,1.0,,No,,No,No,E,Pellet,"€ 265,000  265000 €",Rue de Tirlemont 23 4280  - Hannut,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,435  m²  square meters,34  m²  square meters,
8773,Good,4.0,Isolated,148  m² square meters,34  m² square meters,Installed,4.0,2.0,2.0,2.0,,No,,No,Yes,B,Fuel oil,"Make an offer starting from  € 399,000  Make an offer starting from  399000 €",Rue de Tirlemont 23 4280  - Hannut,Non flood zone,1222  m²  square meters,55  m²  square meters,
8774,Good,4.0,Isolated,171  m² square meters,23  m² square meters,Hyper equipped,3.0,1.0,,2.0,,No,,No,No,F,Gas,"€ 325,000  325000 €",Rue de Tirlemont 23 4280  - Hannut,Non flood zone,727  m²  square meters,130  m²  square meters,
8775,,4.0,,253  m² square meters,,Installed,4.0,1.0,,2.0,,,Yes,,,C,Fuel oil,"€ 499,000  499000 €",Zuidlaan 2 9200  - Dendermonde,Non flood zone,,,Yes
8776,Good,3.0,,167  m² square meters,,Installed,3.0,,,1.0,,No,Yes,,,F,Gas,"€ 440,000  440000 €",Kortrijksestraat 68 8020  - Oostkamp,Non flood zone,,,Yes
8777,Good,3.0,,180  m² square meters,31  m² square meters,Hyper equipped,5.0,2.0,1.0,2.0,,No,,No,Yes,B,Gas,"Make an offer starting from  € 580,000  Make an offer starting from  580000 €",Avenue du centenaire 53/4 1400  - Nivelles,Non flood zone,352  m²  square meters,43  m²  square meters,
8778,As new,4.0,Isolated,222  m² square meters,20  m² square meters,Hyper equipped,5.0,1.0,,2.0,,No,,No,No,B,Gas,"€ 539,000  539000 €",Rue de Tirlemont 23 4280  - Hannut,Property partially or completely located in a circumscribed and recognized flood zone,832  m²  square meters,94  m²  square meters,
8779,Good,4.0,,196  m² square meters,,Installed,4.0,,1.0,2.0,,No,Yes,,,B,Electric,"€ 695,000  695000 €",Stationstraat 16 8420  - De Haan,Non flood zone,,,Yes
8780,,4.0,,84  m² square meters,32  m² square meters,Hyper equipped,1.0,1.0,,1.0,,,,,,A,Gas,"€ 278,986  278986 €",Avenue Louise 200 1050  - Bruxelles,,,7  m²  square meters,
8781,Good,,,90  m² square meters,,,1.0,,1.0,1.0,,,,,,Not specified,,"€ 198,000  198000 €","Roterijstraat, 202 8793  - Waregem",,,,
8782,As new,4.0,,253  m² square meters,20  m² square meters,Hyper equipped,5.0,1.0,,3.0,,No,,No,No,C,Gas,"€ 745,000  745000 €",Brusselsesteenweg 415 3090  - Overijse,Non flood zone,500  m²  square meters,100  m²  square meters,
8783,Good,,,249  m² square meters,,Installed,3.0,1.0,,1.0,,,,,,C,Gas,"€ 270,000  270000 €",rue du Moulin n° 21 7800  - Ath,,,,
8784,Good,,,80  m² square meters,,Installed,1.0,,,1.0,,No,Yes,,,D,Gas,"€ 229,000  229000 €",Grote Markt 1 8370  - Blankenberge,Non flood zone,,,
8785,,4.0,,101  m² square meters,38  m² square meters,Hyper equipped,3.0,1.0,,1.0,,,,,,A,Gas,"€ 333,681  333681 €",Avenue Louise 200 1050  - Bruxelles,,,7  m²  square meters,
8786,As new,2.0,Landscape,89  m² square meters,,USA hyper equipped,2.0,2.0,2.0,2.0,,No,Yes,Yes,,B,Gas,"€ 1,995,000  1995000 €",Sparrendreef 80 8300  - Knokke,Non flood zone,,,
8787,Good,,,191  m² square meters,,Hyper equipped,3.0,,,2.0,,No,Yes,,,D,Electric,"€ 525,000  525000 €",Koningsstraat 23 8400  - Oostende,Possible flood zone,,,
8788,Good,3.0,,,,Installed,1.0,1.0,,1.0,Yes,,Yes,Yes,,C,Gas,"€ 187,000  187000 €",Amsterdamstraat 15 bus202 2000  - Antwerpen,,,,
8789,As new,,Urban,87  m² square meters,,Installed,1.0,1.0,,1.0,,,,Yes,No,D,Gas,"€ 159,000  159000 €",Gentseweg 556A 8793  - Waregem,Non flood zone,,,
8790,As new,,,95  m² square meters,34  m² square meters,USA hyper equipped,2.0,1.0,1.0,1.0,,No,,Yes,No,B,Gas,"€ 375,000  375000 €",Chaussée de Marche 474 5101  - Erpent,Non flood zone,,6  m²  square meters,
8791,Just renovated,2.0,,71  m² square meters,34  m² square meters,USA semi equipped,1.0,1.0,,1.0,,No,,Yes,No,B,Gas,"€ 365,000  365000 €",drève richelle 96 1410  - Waterloo,Non flood zone,124  m²  square meters,14  m²  square meters,
8792,As new,4.0,Isolated,52  m² square meters,,Hyper equipped,1.0,1.0,,1.0,,No,Yes,Yes,No,B,Gas,"€ 239,000  239000 €",rue des dominicains 4E 4000  - Liège,Non flood zone,,,
8793,Good,3.0,"Living area (residential, urban or rural)",75  m² square meters,28  m² square meters,Installed,2.0,1.0,1.0,1.0,Yes,No,,No,No,B,Gas,"Make an offer starting from  € 115,000  Make an offer starting from  115000 €",Rue J. Wettinck 49 4101  - Seraing,Non flood zone,1500  m²  square meters,,
8794,To be done up,2.0,Urban,65  m² square meters,26  m² square meters,Semi equipped,2.0,1.0,,1.0,,No,,Yes,No,B,Gas,"€ 235,000  235000 €",Galgstraat 83 1600  - St-Pieters-Leeuw,Non flood zone,,3  m²  square meters,
8795,As new,,,129  m² square meters,,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,D,Gas,"€ 389,000  389000 €","President Rooseveltplein, 9 8500  - Kortrijk",Non flood zone,,48  m²  square meters,
8796,Just renovated,2.0,,144  m² square meters,,,3.0,2.0,,,,No,,No,No,Not specified,Gas,"€ 535,000  535000 €",Place du Châtelain 35 1050  - Ixelles,Non flood zone,,5  m²  square meters,
8797,As new,3.0,,261  m² square meters,70  m² square meters,Hyper equipped,5.0,1.0,,2.0,,,,,,A,Gas,"€ 675,000  675000 €",,Non flood zone,340  m²  square meters,70  m²  square meters,
8798,To be done up,2.0,Urban,65  m² square meters,26  m² square meters,Semi equipped,2.0,1.0,,1.0,,No,,Yes,No,B,Gas,"€ 235,000  235000 €",Galgstraat 83 1600  - St-Pieters-Leeuw,Non flood zone,,3  m²  square meters,
8799,,2.0,,102  m² square meters,,,3.0,1.0,,,Yes,No,,Yes,No,Not specified,Gas,"€ 399,000  399000 €",Rue Archimède 17 1000  - Bruxelles ville,Non flood zone,,4  m²  square meters,
8800,,2.0,,46  m² square meters,27  m² square meters,USA hyper equipped,,,,,Yes,,,,,B,Gas,"€ 207,000  207000 €",Avenue Louise 200 1050  - Ixelles,,,3  m²  square meters,
8801,,2.0,,87  m² square meters,30  m² square meters,USA hyper equipped,2.0,1.0,,,Yes,,,,,B,Gas,"€ 313,000  313000 €",Avenue Louise 200 1050  - Ixelles,,,15  m²  square meters,
8802,Good,2.0,,115  m² square meters,,Installed,2.0,1.0,,1.0,Yes,No,Yes,No,No,G,Gas,"€ 435,000  435000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,,,,
8803,,,,68  m² square meters,25  m² square meters,,2.0,1.0,,1.0,Yes,No,,Yes,,D,Gas,"€ 260,000  260000 €",Rue Du Postillon 3 1180  - Uccle,,,6  m²  square meters,
8804,,2.0,,78  m² square meters,35  m² square meters,USA hyper equipped,1.0,1.0,,,Yes,,,,,B,Gas,"€ 288,000  288000 €",Avenue Louise 200 1050  - Ixelles,,,7  m²  square meters,
8805,As new,3.0,,110  m² square meters,,USA hyper equipped,2.0,2.0,2.0,1.0,,No,,Yes,No,B,Gas,"€ 375,000  375000 €",Rue des Sablons 19 1000  - Bruxelles,,,46  m²  square meters,
8806,As new,2.0,"Living area (residential, urban or rural)",155  m² square meters,60  m² square meters,USA hyper equipped,3.0,2.0,2.0,2.0,,,,No,No,A,,"€ 523,950  523950 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,54  m²  square meters,23  m²  square meters,
8807,As new,2.0,Urban,129  m² square meters,,Hyper equipped,2.0,1.0,,,,,Yes,,,B,Gas,"€ 550,000  550000 €",Kempischveldweg 34 2970  - Schilde,Non flood zone,,,
8808,As new,3.0,,220  m² square meters,38  m² square meters,Hyper equipped,4.0,,1.0,3.0,,No,Yes,,,A,,"€ 548,000  548000 €",Steenweg op Aalst 96 9620  - Zottegem,Non flood zone,,,Yes
8809,,2.0,Shop street,102  m² square meters,,Installed,2.0,1.0,,1.0,Yes,,,Yes,,Not specified,Gas,"€ 320,000  320000 €",Grote Markt 10 2200  - HERENTALS,Non flood zone,,20  m²  square meters,
8810,,2.0,Shop street,106  m² square meters,,Installed,2.0,1.0,1.0,2.0,Yes,,,Yes,,Not specified,Gas,"€ 335,000  335000 €",Grote Markt 10 2200  - HERENTALS,Non flood zone,,20  m²  square meters,
